a : 9.5354, 0 -> 0
b : 3.3192, 0 -> 0
c : 0.6108, 0 -> 2
d : 8.9006, 0 -> 3
a : 0.6853, 1 -> 7
b : 8.0683, 1 -> 6
c : -4.1053, 1 -> 6
d : -3.7303, 1 -> 2
a : 0.1696, 2 -> 2
b : -8.3090, 2 -> 3
c : 5.5824, 2 -> 0
d : 6.3257, 2 -> 1
a : 6.2904, 3 -> 3
b : 7.8932, 3 -> 1
c : 8.2022, 3 -> 2
d : -1.6540, 3 -> 3
a : -8.6353, 4 -> 6
b : 0.0664, 4 -> 7
c : -9.2267, 4 -> 1
d : -9.7603, 4 -> 3
a : 7.2233, 5 -> 6
b : -7.2347, 5 -> 5
c : -8.0757, 5 -> 5
d : -2.0555, 5 -> 1
a : -0.0871, 6 -> 1
b : -8.4811, 6 -> 1
c : 7.3157, 6 -> 5
d : 3.4078, 6 -> 4
a : 0.0883, 7 -> 3
b : -7.6583, 7 -> 5
c : 9.8721, 7 -> 3
d : -1.3863, 7 -> 0
b : -4.4128, 0 -> 4
b : 1.9857, 0 -> 7
d : 1.3429, 1 -> 6
c : -1.5307, 1 -> 3
c : -8.2281, 2 -> 3
b : 2.7633, 2 -> 1
c : 8.2882, 3 -> 0
b : -9.5025, 3 -> 4
c : -5.7167, 4 -> 3
d : -1.1104, 4 -> 3
b : 3.5232, 5 -> 3
d : 9.0810, 5 -> 1
b : -5.3289, 6 -> 3
b : 3.6205, 6 -> 0
b : -4.9054, 7 -> 7
d : 0.6182, 7 -> 4
