a : -2.4855, 0 -> 2
b : 0.2074, 0 -> 2
c : 5.4241, 0 -> 7
d : -8.2947, 0 -> 7
a : -1.4291, 1 -> 2
b : 8.3993, 1 -> 0
c : -1.6983, 1 -> 6
d : -2.3718, 1 -> 3
a : 7.1094, 2 -> 4
b : 5.2782, 2 -> 6
c : -8.9284, 2 -> 7
d : -2.1974, 2 -> 0
a : 6.9706, 3 -> 4
b : -4.9048, 3 -> 2
c : 7.3234, 3 -> 2
d : 1.8796, 3 -> 3
a : -9.1795, 4 -> 2
b : 6.9991, 4 -> 3
c : 5.6942, 4 -> 2
d : -1.7439, 4 -> 7
a : 4.1513, 5 -> 5
b : -3.6670, 5 -> 7
c : -2.5693, 5 -> 6
d : 5.6758, 5 -> 4
a : -0.2052, 6 -> 4
b : 4.8409, 6 -> 0
c : -1.9227, 6 -> 0
d : -1.0235, 6 -> 7
a : -1.5770, 7 -> 6
b : -2.4903, 7 -> 3
c : -3.5515, 7 -> 4
d : -1.7936, 7 -> 6
c : -2.0805, 0 -> 6
a : -7.1264, 0 -> 3
d : -6.7382, 1 -> 7
b : 0.1799, 1 -> 5
b : -0.3929, 2 -> 5
d : -1.8492, 2 -> 6
d : -0.1668, 3 -> 2
c : 5.5120, 3 -> 1
d : 7.6461, 4 -> 6
d : 6.7626, 4 -> 3
c : 1.8190, 5 -> 3
d : 8.9153, 5 -> 2
d : -1.7135, 6 -> 7
a : 1.1257, 6 -> 7
c : 7.8134, 7 -> 5
a : 3.6986, 7 -> 7
