a : 361.0000, 0 -> 2
b : -297.0000, 0 -> 0
c : 109.0000, 0 -> 1
d : -379.0000, 0 -> 0
a : -813.0000, 1 -> 2
b : 585.0000, 1 -> 2
c : -602.0000, 1 -> 2
d : -708.0000, 1 -> 0
a : -268.0000, 2 -> 3
b : 402.0000, 2 -> 3
c : -601.0000, 2 -> 2
d : -556.0000, 2 -> 3
a : 332.0000, 3 -> 0
b : 413.0000, 3 -> 1
c : -65.0000, 3 -> 2
d : 103.0000, 3 -> 2
a : -499.0000, 0 -> 0
d : 321.0000, 0 -> 1
a : 148.0000, 1 -> 0
a : 30.0000, 1 -> 1
a : 103.0000, 2 -> 0
c : -676.0000, 2 -> 1
d : -873.0000, 3 -> 0
c : -599.0000, 3 -> 3
