d : -6.7899, 6 -> 3
c : 5.3933, 0 -> 5
d : -1.7273, 0 -> 7
b : 4.3729, 3 -> 1
c : 4.4814, 3 -> 7
d : 3.0041, 3 -> 2
b : 3.9242, 4 -> 0
d : 8.1509, 2 -> 2
a : 7.4329, 0 -> 7
d : -9.0470, 5 -> 5
b : 1.3355, 6 -> 2
c : 2.8803, 6 -> 1
a : 3.6260, 2 -> 5
b : 7.0729, 2 -> 1
c : -3.1861, 7 -> 0
a : 9.0444, 3 -> 6
b : -3.6834, 2 -> 0
c : 5.2260, 6 -> 2
c : 9.1160, 7 -> 3
c : -0.5840, 4 -> 6
a : -0.0876, 6 -> 5
d : 4.6297, 4 -> 6
c : -5.8932, 3 -> 1
d : 0.4385, 2 -> 3
b : -9.5592, 0 -> 4
d : -6.7349, 5 -> 3
d : 4.9694, 6 -> 6
a : 3.8084, 1 -> 2
a : 5.8016, 1 -> 4
a : -0.4204, 4 -> 3
b : -9.9219, 3 -> 3
c : -6.2740, 5 -> 5
c : 6.6192, 2 -> 4
c : -7.0031, 1 -> 3
a : 8.2893, 5 -> 3
d : -7.8038, 7 -> 4
b : 9.7536, 1 -> 1
b : -2.5145, 1 -> 1
a : -5.6161, 5 -> 2
b : 5.3608, 5 -> 6
d : -3.2590, 4 -> 2
c : -3.3103, 0 -> 3
b : -1.8082, 7 -> 6
d : -0.4018, 7 -> 3
a : 5.4109, 4 -> 3
d : -5.3140, 1 -> 3
a : -8.7449, 0 -> 7
a : -5.1412, 7 -> 5
