b : -3.1116, 4 -> 3
a : -2.5060, 2 -> 6
c : 7.5793, 2 -> 4
c : -8.7357, 0 -> 3
c : 4.0002, 6 -> 5
d : 5.9489, 0 -> 7
a : -5.4756, 4 -> 7
a : -0.7985, 4 -> 3
a : -1.9675, 7 -> 4
d : 4.7451, 0 -> 3
a : -0.6929, 3 -> 1
d : 4.7821, 3 -> 1
c : 2.0197, 5 -> 6
c : -0.3925, 2 -> 6
b : -0.3740, 7 -> 6
d : -9.5086, 7 -> 4
a : 2.7847, 7 -> 0
b : -9.8827, 2 -> 2
b : -1.2227, 4 -> 2
a : 1.9005, 5 -> 4
d : -2.4134, 6 -> 6
d : -7.2480, 2 -> 5
c : 5.3153, 1 -> 1
d : -0.2360, 4 -> 1
d : 8.8997, 1 -> 2
b : 1.1239, 6 -> 5
a : -2.0573, 1 -> 7
d : 1.0172, 6 -> 5
c : -1.5658, 1 -> 0
d : 1.3994, 0 -> 4
a : -0.2105, 6 -> 7
d : -4.2769, 5 -> 7
c : 7.4338, 3 -> 2
b : -5.1718, 0 -> 2
b : -1.2578, 5 -> 3
a : -8.5056, 2 -> 5
c : 1.5536, 5 -> 3
b : -1.3949, 5 -> 7
c : -2.9442, 4 -> 3
d : 9.9808, 1 -> 5
d : -4.9389, 3 -> 0
a : 4.1017, 0 -> 1
b : 2.9243, 6 -> 4
d : 1.0801, 3 -> 0
c : -9.4944, 7 -> 6
b : 6.8415, 3 -> 1
b : -6.5672, 1 -> 1
b : -4.2892, 7 -> 5
