c : -2.8916, 1 -> 1
a : -7.9555, 0 -> 2
b : -4.0999, 1 -> 7
d : -8.3780, 1 -> 4
d : 9.2740, 5 -> 1
d : 3.0623, 7 -> 2
b : -2.2976, 0 -> 5
d : -9.9193, 1 -> 5
d : -8.0348, 0 -> 1
b : -0.9324, 7 -> 0
c : 8.8111, 4 -> 6
a : 1.4721, 3 -> 3
b : 9.9397, 4 -> 1
d : -4.5850, 4 -> 3
b : 3.7510, 0 -> 6
b : -5.5566, 7 -> 3
d : -6.0280, 0 -> 1
a : 2.7096, 7 -> 2
d : -9.0195, 2 -> 4
c : -7.5107, 6 -> 5
c : -8.8002, 0 -> 3
d : 5.6742, 4 -> 6
a : -1.9133, 1 -> 2
d : -0.0362, 4 -> 1
b : 8.5373, 5 -> 1
c : -6.1315, 3 -> 3
c : -9.7058, 5 -> 6
b : -5.1079, 6 -> 7
b : -8.1685, 5 -> 2
c : 9.7400, 3 -> 3
a : 9.8043, 6 -> 3
a : 8.0911, 4 -> 2
a : 5.3416, 2 -> 2
b : 3.8394, 6 -> 4
a : -1.0701, 5 -> 6
d : -8.2835, 6 -> 7
a : 3.4725, 2 -> 0
c : 1.4086, 2 -> 3
b : -8.2313, 6 -> 1
d : 0.6390, 3 -> 4
b : 2.8043, 3 -> 7
c : 5.5563, 5 -> 2
a : 1.2076, 3 -> 2
d : -2.2890, 2 -> 4
c : -8.4244, 7 -> 7
b : 5.5664, 2 -> 4
b : 7.0319, 1 -> 5
d : 5.7642, 7 -> 5
