d : 8.4868, 5 -> 5
d : -1.0098, 2 -> 5
c : -4.5148, 0 -> 3
a : 0.2114, 1 -> 0
a : -0.6826, 6 -> 4
c : 0.4585, 7 -> 6
a : -5.8336, 2 -> 7
a : -6.7862, 1 -> 2
d : -6.4209, 3 -> 6
a : -2.2286, 7 -> 6
b : 3.0785, 6 -> 2
d : 4.2999, 2 -> 7
c : -0.3661, 4 -> 1
c : 9.6082, 0 -> 4
c : 3.9832, 3 -> 3
d : 6.2102, 6 -> 7
b : -0.1103, 2 -> 1
b : 8.0240, 3 -> 4
c : 3.4872, 5 -> 6
a : -1.2109, 5 -> 4
b : 3.1420, 0 -> 6
b : -1.0827, 7 -> 1
c : 5.6979, 3 -> 7
b : -5.2500, 5 -> 5
a : -7.9424, 7 -> 4
b : 6.6426, 4 -> 5
c : -4.4323, 3 -> 7
c : 8.3966, 4 -> 6
a : -2.5901, 6 -> 2
c : 4.4295, 2 -> 2
c : -6.1731, 2 -> 0
b : 7.6369, 4 -> 5
c : 7.2409, 1 -> 3
c : -5.8558, 5 -> 0
b : 3.1174, 5 -> 1
a : 0.1520, 4 -> 3
d : 0.9582, 7 -> 1
a : -6.5934, 7 -> 7
b : 2.5750, 1 -> 3
d : -2.8980, 4 -> 0
b : -4.8773, 0 -> 7
d : 6.8820, 1 -> 2
d : -8.4447, 0 -> 6
d : -5.6072, 1 -> 4
b : -5.7221, 6 -> 0
c : -0.1499, 6 -> 3
a : 3.8960, 0 -> 1
a : 1.4318, 3 -> 0
