a : -917.0000, 0 -> 2
b : 828.0000, 0 -> 0
c : -247.0000, 0 -> 1
d : 979.0000, 0 -> 0
a : -975.0000, 1 -> 7
b : -985.0000, 1 -> 4
c : 678.0000, 1 -> 0
d : 380.0000, 1 -> 3
a : 339.0000, 2 -> 2
b : 649.0000, 2 -> 6
c : -208.0000, 2 -> 1
d : -439.0000, 2 -> 3
a : -647.0000, 3 -> 7
b : 787.0000, 3 -> 1
c : 420.0000, 3 -> 6
d : -807.0000, 3 -> 4
a : 832.0000, 4 -> 5
b : 678.0000, 4 -> 7
c : 478.0000, 4 -> 4
d : -550.0000, 4 -> 7
a : -740.0000, 5 -> 2
b : 609.0000, 5 -> 6
c : 75.0000, 5 -> 0
d : -66.0000, 5 -> 6
a : 428.0000, 6 -> 1
b : 280.0000, 6 -> 1
c : 936.0000, 6 -> 0
d : -678.0000, 6 -> 1
a : -969.0000, 7 -> 4
b : -364.0000, 7 -> 4
c : -505.0000, 7 -> 1
d : 614.0000, 7 -> 3
d : -523.0000, 0 -> 2
c : 753.0000, 0 -> 4
b : -858.0000, 1 -> 0
c : 263.0000, 1 -> 5
d : -760.0000, 2 -> 0
b : -324.0000, 2 -> 7
a : -341.0000, 3 -> 0
a : -1000.0000, 3 -> 2
b : 417.0000, 4 -> 3
d : 795.0000, 4 -> 4
d : 223.0000, 5 -> 2
c : 352.0000, 5 -> 2
a : 408.0000, 6 -> 5
c : 968.0000, 6 -> 2
a : 231.0000, 7 -> 3
a : 149.0000, 7 -> 7
