b : 0.3570, 6 -> 2
c : -3.1180, 5 -> 0
b : -5.9316, 2 -> 5
b : 4.7454, 5 -> 5
c : 7.7324, 4 -> 3
d : -2.2450, 0 -> 0
a : -1.4267, 1 -> 7
a : 4.3812, 4 -> 7
a : 8.3801, 5 -> 4
c : -1.0888, 7 -> 1
b : -9.1392, 0 -> 5
c : 9.0500, 6 -> 3
d : -9.7989, 7 -> 1
a : -9.7717, 1 -> 6
a : 9.1552, 2 -> 4
b : -2.1700, 1 -> 7
a : -3.9187, 3 -> 4
b : 0.0140, 3 -> 1
d : -0.9104, 5 -> 5
c : -8.2354, 7 -> 0
a : 7.3789, 6 -> 4
d : -4.5022, 7 -> 7
b : 7.9184, 6 -> 2
c : 5.8188, 1 -> 7
b : -7.8147, 5 -> 0
b : 0.2197, 4 -> 7
c : 7.7142, 1 -> 1
a : -5.0446, 0 -> 1
d : -8.3114, 2 -> 7
a : -9.1105, 3 -> 7
a : -2.9073, 7 -> 3
d : -5.1315, 3 -> 2
b : 7.8527, 4 -> 3
b : 2.6009, 6 -> 6
d : 6.2619, 6 -> 5
b : -4.4629, 2 -> 7
b : 3.9098, 7 -> 3
a : -0.2352, 0 -> 3
c : -2.0433, 0 -> 7
c : -6.8422, 3 -> 1
b : -9.9601, 3 -> 5
d : -9.6669, 4 -> 4
a : 2.9640, 5 -> 0
d : 2.7375, 2 -> 4
d : -2.5427, 0 -> 7
c : 5.2047, 4 -> 3
c : -0.7327, 2 -> 0
d : -8.9523, 1 -> 6
