c : 3.3969, 1 -> 1
b : 7.7371, 5 -> 1
a : 6.6401, 4 -> 4
c : -3.5078, 6 -> 7
c : -8.2338, 2 -> 6
b : -7.8219, 2 -> 6
b : -2.8221, 3 -> 7
d : 3.2842, 6 -> 6
d : 9.6276, 2 -> 4
c : -3.3689, 3 -> 0
a : 7.6020, 0 -> 7
d : 7.7034, 4 -> 1
b : -4.5245, 2 -> 3
b : 3.4586, 4 -> 7
d : -4.1038, 4 -> 0
c : 0.9064, 5 -> 2
b : 9.9559, 0 -> 5
c : -3.9466, 6 -> 6
d : -3.2847, 4 -> 5
c : -1.5961, 4 -> 5
a : 5.9691, 5 -> 1
a : 3.2963, 1 -> 2
c : 3.6974, 6 -> 0
c : -9.4269, 5 -> 1
d : 8.2069, 5 -> 2
d : 9.6117, 0 -> 6
b : 2.1352, 7 -> 5
c : -0.1418, 3 -> 5
d : -2.1067, 3 -> 6
b : 3.5639, 1 -> 6
a : -7.4425, 3 -> 2
c : 2.9205, 1 -> 4
b : -6.0410, 2 -> 0
d : -5.4040, 0 -> 3
a : 6.7643, 6 -> 4
d : -7.0178, 7 -> 0
a : -3.8074, 7 -> 0
d : 9.5463, 7 -> 6
b : 1.8937, 5 -> 2
a : 5.3814, 2 -> 3
c : 0.3007, 0 -> 4
b : -7.6316, 1 -> 2
c : -9.6713, 7 -> 4
d : -4.0719, 1 -> 2
d : -5.2528, 7 -> 6
b : 1.5951, 6 -> 1
d : -2.9392, 0 -> 2
b : 7.6838, 3 -> 5
