a : -152.0000, 0 -> 4
b : 788.0000, 0 -> 3
c : 778.0000, 0 -> 1
d : 98.0000, 0 -> 0
a : 846.0000, 1 -> 0
b : -156.0000, 1 -> 4
c : -681.0000, 1 -> 2
d : -20.0000, 1 -> 3
a : -108.0000, 2 -> 1
b : 399.0000, 2 -> 4
c : 635.0000, 2 -> 2
d : -354.0000, 2 -> 1
a : -443.0000, 3 -> 0
b : 472.0000, 3 -> 4
c : 512.0000, 3 -> 1
d : -996.0000, 3 -> 3
a : 730.0000, 4 -> 0
b : 952.0000, 4 -> 3
c : 842.0000, 4 -> 1
d : 1.0000, 4 -> 4
c : -744.0000, 0 -> 3
a : 145.0000, 0 -> 0
c : -991.0000, 1 -> 3
d : 607.0000, 1 -> 2
d : 696.0000, 2 -> 0
b : 573.0000, 2 -> 2
d : -291.0000, 3 -> 2
c : 475.0000, 3 -> 0
c : -615.0000, 4 -> 3
b : 324.0000, 4 -> 1
