a : 161.0000, 0 -> 1
b : -312.0000, 0 -> 5
c : -379.0000, 0 -> 5
a : -314.0000, 1 -> 2
b : -517.0000, 1 -> 3
c : 507.0000, 1 -> 1
a : 627.0000, 2 -> 2
b : -1000.0000, 2 -> 5
c : 519.0000, 2 -> 3
a : 123.0000, 3 -> 1
b : -481.0000, 3 -> 2
c : 951.0000, 3 -> 1
a : -464.0000, 4 -> 0
b : -809.0000, 4 -> 0
c : 381.0000, 4 -> 0
a : -264.0000, 5 -> 3
b : 732.0000, 5 -> 4
c : 447.0000, 5 -> 2
b : -391.0000, 0 -> 1
a : -864.0000, 1 -> 1
c : 520.0000, 2 -> 1
c : 710.0000, 3 -> 4
a : -82.0000, 4 -> 5
c : -480.0000, 5 -> 4
