a : -4.4993, 0 -> 1
b : 5.2608, 0 -> 1
c : -5.0888, 0 -> 6
d : -5.1865, 0 -> 3
a : 3.4056, 1 -> 4
b : -7.4698, 1 -> 0
c : 1.7112, 1 -> 4
d : 6.0493, 1 -> 5
a : -2.3885, 2 -> 1
b : -6.0223, 2 -> 6
c : 9.5745, 2 -> 2
d : -5.7354, 2 -> 1
a : -5.0479, 3 -> 6
b : -0.9174, 3 -> 3
c : -5.0656, 3 -> 2
d : -8.4411, 3 -> 1
a : -6.1768, 4 -> 7
b : 7.3141, 4 -> 7
c : -6.7501, 4 -> 0
d : -5.8485, 4 -> 7
a : 5.7636, 5 -> 5
b : 0.7012, 5 -> 5
c : 7.7111, 5 -> 2
d : -6.2777, 5 -> 6
a : 7.3929, 6 -> 0
b : 0.2962, 6 -> 1
c : -5.3258, 6 -> 4
d : -5.9738, 6 -> 2
a : -7.5238, 7 -> 0
b : -7.8502, 7 -> 6
c : -9.0075, 7 -> 7
d : -9.5843, 7 -> 0
a : 4.3380, 0 -> 4
c : 2.7731, 0 -> 6
b : 6.4762, 1 -> 4
c : 7.6846, 1 -> 6
c : 9.5993, 2 -> 4
a : 8.6505, 2 -> 4
a : 3.3994, 3 -> 4
b : -8.2692, 3 -> 0
c : 0.4880, 4 -> 3
a : 8.0410, 4 -> 5
a : 0.1801, 5 -> 6
b : -7.9644, 5 -> 6
d : 6.1953, 6 -> 2
b : -9.8918, 6 -> 3
b : 8.8373, 7 -> 5
c : 3.5400, 7 -> 6
