a : 6.9156, 0 -> 1
b : -5.3041, 0 -> 1
c : -8.4129, 0 -> 1
d : -5.9329, 0 -> 6
a : -4.3752, 1 -> 3
b : -8.6348, 1 -> 7
c : 5.7518, 1 -> 5
d : -2.8791, 1 -> 0
a : -4.4284, 2 -> 7
b : 8.5165, 2 -> 7
c : 0.4638, 2 -> 0
d : 0.9465, 2 -> 2
a : 4.5388, 3 -> 3
b : 9.8681, 3 -> 5
c : 8.4912, 3 -> 1
d : 0.2680, 3 -> 7
a : -4.2376, 4 -> 4
b : -8.1020, 4 -> 3
c : -8.8501, 4 -> 6
d : -1.1075, 4 -> 6
a : -2.5943, 5 -> 4
b : -6.2202, 5 -> 3
c : -0.7434, 5 -> 1
d : -2.2416, 5 -> 4
a : -8.7584, 6 -> 6
b : -7.9217, 6 -> 3
c : -3.5028, 6 -> 3
d : -4.8450, 6 -> 2
a : 5.7979, 7 -> 3
b : 0.4557, 7 -> 1
c : -7.8247, 7 -> 0
d : 3.8320, 7 -> 1
a : 5.8881, 0 -> 3
a : -9.4876, 0 -> 2
d : -3.4613, 1 -> 7
c : -2.8192, 1 -> 2
d : -9.7914, 2 -> 6
b : 2.0232, 2 -> 4
b : 4.9281, 3 -> 1
a : 4.2757, 3 -> 5
c : 8.1812, 4 -> 4
b : 0.8316, 4 -> 5
d : -8.6125, 5 -> 5
a : 6.3228, 5 -> 7
d : 7.5896, 6 -> 3
d : 6.8544, 6 -> 5
a : 5.6000, 7 -> 0
a : 4.5274, 7 -> 7
