a : 837.0000, 0 -> 1
b : 902.0000, 0 -> 0
c : 554.0000, 0 -> 1
d : -450.0000, 0 -> 3
a : -241.0000, 1 -> 3
b : -364.0000, 1 -> 0
c : -859.0000, 1 -> 2
d : -513.0000, 1 -> 2
a : -703.0000, 2 -> 1
b : -496.0000, 2 -> 0
c : 322.0000, 2 -> 1
d : 385.0000, 2 -> 0
a : 703.0000, 3 -> 2
b : 776.0000, 3 -> 3
c : -737.0000, 3 -> 3
d : -254.0000, 3 -> 3
a : -131.0000, 0 -> 1
d : -796.0000, 0 -> 1
a : -195.0000, 1 -> 1
c : 879.0000, 1 -> 1
b : 565.0000, 2 -> 0
b : -819.0000, 2 -> 2
b : 679.0000, 3 -> 1
c : -666.0000, 3 -> 2
