a : -623.0000, 0 -> 0
b : -954.0000, 0 -> 0
a : 762.0000, 1 -> 3
b : -255.0000, 1 -> 1
a : -56.0000, 2 -> 3
b : -753.0000, 2 -> 3
a : 570.0000, 3 -> 7
b : -869.0000, 3 -> 2
a : 618.0000, 4 -> 4
b : 540.0000, 4 -> 3
a : 881.0000, 5 -> 5
b : 503.0000, 5 -> 3
a : 716.0000, 6 -> 3
b : -487.0000, 6 -> 1
a : -295.0000, 7 -> 4
b : -698.0000, 7 -> 5
a : -764.0000, 0 -> 4
b : -235.0000, 1 -> 2
b : 425.0000, 2 -> 5
a : -780.0000, 3 -> 6
a : 382.0000, 4 -> 0
a : -75.0000, 5 -> 3
a : 370.0000, 6 -> 1
b : -818.0000, 7 -> 2
